"Site Number","Name","Town","Description","Street Address","Status","Start Date","Stop Date","Parameters Measured","Location Accuracy","Latitude","Longitude"
239019999,"PORTLAND","PORTLAND"," ","MS SCOTIA PRINCE COMMERCIAL ST PORTLAND","I",,," ","NO",-70.26416,43.64503
230112003,"WINSLOW","WINSLOW"," ","(GHR) GULLEY HILL ROAD, WINSLOW, MAINE","I",01/01/1985,12/31/1994," "," ",-69.62205,44.552
230032001,"FORT FAIRFIELD","FORT FAIRFIELD"," ","264 MAIN STREET","I",01/01/1986,," "," ",-67.83377,46.77277
230030014,"MADAWASKA","MADAWASKA","PUBLIC SERVICE BUILDING","428 MAIN STREET","A",08/29/2009,,"PM10, PM2.5","WITHIN 5M",-68.32112,47.35532
230051001,"BRUNSWICK","BRUNSWICK"," ","COASTAL SAVINGS-83 MAINE ST.","I",01/01/1978,," "," ",-69.96538,43.91671
230050028,"WESTBROOK","WESTBROOK","ROOF OF WESTBROOK FIRE STATION","MECHANIC'S STREET, WESTBROOK","I",01/01/2000,12/17/2002," "," ",-70.36873,43.67671
230059002,"FREEPORT","FREEPORT","CASCO BAY SITE","WOLFES NECK FARM","A",01/06/1998,,"ATMOSPHERIC DEP., MERCURY DEP., PRECIP., SPEC. PARTICULATES","WITHIN 5M",-70.06442,43.83247
230055001,"FREEPORT","FREEPORT"," ","WEBSTER ROAD, FREEPORT, MAINE","I",01/01/1980,," "," ",-70.14797,43.83254
230110016,"AUGUSTA","AUGUSTA","8'X 8' PLATFORM ON NORTHWEST CORNER OF LINCOLN SCHOOL ROOF","LINCOLN STREET ELEMENTARY SCHOOL","A",01/01/1999,,"PM10, PM2.5","WITHIN 5M",-69.78669,44.31233
230031004,"MADAWASKA","MADAWASKA"," ","WATER COMPANY-WEST MAIN ST.","I",01/01/1978,," "," ",-68.34867,47.35475
230192009,"MILLINOCKET","MILLINOCKET"," ","YORK STREET-MILLINOCKET","I",08/01/1977,," "," ",-68.70183,45.64766
230031012,"LORING AFB","LORING AFB","LOCATED AT LORING AFB AT BUILDING 5100","BUILDING 5100 LORING AFB","I",07/17/1996,," "," ",-67.89599,46.93258
